"Condition","CondID","QuestionID","Average","SD"
"outline","10","2",3.57142857142857,1.53529894715748
"outline","10","3",5.19047619047619,1.16700675315302
"outline","11","1",3.95238095238095,1.2440333788203
"outline","11","2",4.42857142857143,1.247855302967
"outline","11","3",3.80952380952381,1.5039630187956
"outline","12","1",2.9047619047619,1.33808676492827
"outline","12","2",3.23809523809524,1.17918454470714
"outline","12","3",3.71428571428571,1.76473389333512
"outline","13","1",4.5,1.31789305532094
"outline","13","2",4.2,1.39924791829115
"outline","13","3",5.15,1.56524758424985
"outline","14","1",4.8,1.23969435961577
"outline","14","2",4.35,1.18210338847862
"outline","14","3",4.95,1.27630222456166
"outline","15","1",3.85,1.4964871146156
"outline","15","2",3.05,0.998683343734455
"outline","15","3",4.15,1.38696943388321
"outline","16","1",4.7,1.21828179265546
"outline","16","2",4.7,1.12857618729367
"outline","16","3",4.5,1.60591013709393
"outline","17","1",3.5,1.7013926184468
"outline","17","2",3.15,1.22581873821025
"outline","17","3",4.85,1.13670808176853
"outline","18","1",4.4,1.35335839575791
"outline","18","2",4.7,1.08093526754916
"outline","18","3",4.55,1.50350467767462
"outline","2","1",4.05555555555556,1.62597381580184
"outline","2","2",4.94444444444444,1.25895485235231
"outline","2","3",4.44444444444444,1.61690416690889
"outline","3","1",3.11111111111111,1.4507153971054
"outline","3","2",3.94444444444444,1.62597381580184
"outline","3","3",3.94444444444444,1.51355530893411
"outline","4","1",4,1.555973210431
"outline","4","2",3.85,1.63111198750713
"outline","4","3",4.2,1.76515990031618
"outline","5","1",5.3,1.1742858972248
"outline","5","2",3.9,1.71372171173244
"outline","5","3",5.6,1.09544511501033
"outline","6","1",4.15,1.56524758424985
"outline","6","2",4.7,1.55935209217432
"outline","6","3",5.05,1.43178210632764
"outline","7","1",3.9,1.25236618152662
"outline","7","2",3.65,1.18210338847862
"outline","7","3",4.05,1.57195821559574
"outline","8","1",3.85,1.42441123571146
"outline","8","2",3.45,1.23437604097225
"outline","8","3",5.25,1.11803398874989
"outline","9","1",4.15,1.4964871146156
"outline","9","2",3.35,1.13670808176853
"outline","9","3",4.55,0.998683343734455
"structured","1","1",4.83333333333333,1.33944676902773
"structured","1","2",3.77777777777778,1.43713585896539
"structured","1","3",4.88888888888889,1.2313975269104
"structured","10","1",3.05,1.14593101656986
"structured","10","2",3.2,0.951453182187509
"structured","10","3",3.75,1.29269200955949
"structured","11","1",3.14285714285714,1.59014824106793
"structured","11","2",2.47619047619048,1.03048763306736
"structured","11","3",4.61904761904762,1.46547570693582
"structured","12","1",5.14285714285714,1.52596573636875
"structured","12","2",4.80952380952381,1.12334534400814
"structured","12","3",5.33333333333333,1.19721899973786
"structured","14","1",4.04761904761905,1.49920613913466
"structured","14","2",2.52380952380952,0.980767435177556
"structured","14","3",5.57142857142857,1.02817452659695
"structured","15","1",5,1.45095250022002
"structured","15","2",3.25,1.37170658209707
"structured","15","3",5.9,1.25236618152663
"structured","16","1",4.15,1.69441808051583
"structured","16","2",4.1,1.41048703794488
"structured","16","3",3.65,1.72520021721355
"structured","17","1",3.15,1.38696943388321
"structured","17","2",2.5,1
"structured","17","3",4.3,1.4179302929938
"structured","18","1",4.2,1.05630936457281
"structured","18","2",4.75,1.29269200955949
"structured","18","3",4.3,1.34164078649987
"structured","19","1",2.75,1.48235232689554
"structured","19","2",2.55,1.05006265477226
"structured","19","3",3.55,1.39453821823042
"structured","2","1",2.77777777777778,1.06027496741928
"structured","2","2",2.33333333333333,1.23669388480168
"structured","2","3",5.05555555555556,0.937595311059234
"structured","20","1",3.4,1.39170474787692
"structured","20","2",3.05,1.05006265477226
"structured","20","3",4.65,1.53125335660212
"structured","21","1",3.75,1.33278497495796
"structured","21","2",3.25,1.37170658209707
"structured","21","3",4.45,1.57195821559574
"structured","22","1",4.6,1.31389337066357
"structured","22","2",5.8,0.894427190999916
"structured","22","3",4.7,1.21828179265546
"structured","3","1",2.88888888888889,1.27827498141228
"structured","3","2",2.5,1.15044748327106
"structured","3","3",4.66666666666667,1.4950900031928
"structured","4","1",3.25,1.61815359364665
"structured","4","2",4.1,1.5183093090325
"structured","4","3",3.2,1.73508683234859
"structured","5","1",3.7,1.75018795983084
"structured","5","2",2.25,1.25131509768092
"structured","5","3",5.2,1.28144655103437
"structured","6","1",4.5,1.31789305532094
"structured","6","2",5.15,1.56524758424985
"structured","6","3",4.95,1.23437604097225
"structured","7","1",3.7,1.26074330623269
"structured","7","2",3.8,1.36111409475744
"structured","7","3",4.2,1.32188063797479
"structured","8","1",3.9,1.5183093090325
"structured","8","2",4.35,1.59851905146443
"structured","8","3",4.7,1.26074330623269
"structured","9","1",3.6,1.50087693664316
"structured","9","2",4.6,1.23117402250218
"structured","9","3",3.5,1.39548142984872
